10 6.131e-06
1010 1.848e-05
2010 3.366e-05
3010 4.8378e-05
4010 6.4109e-05
5010 7.9121e-05
6010 9.5103e-05
7010 0.000108043
8010 0.000123555
9010 0.000139238
10010 0.000164319
11010 0.000170175
12010 0.000189457
13010 0.000200935
14010 0.000217449
15010 0.000232667
16010 0.000247822
17010 0.000266955
18010 0.000278716
19010 0.000294129
20010 0.000313141
21010 0.00032298
22010 0.00033927
23010 0.000359649
24010 0.000370535
25010 0.000393948
26010 0.000390622
27010 0.000399894
28010 0.000416269
29010 0.000469248
30010 0.000450411
31010 0.000461137
32010 0.000476081
33010 0.000541635
34010 0.000508067
35010 0.000518934
36010 0.00053693
37010 0.000546888
38010 0.000563994
39010 0.00057957
40010 0.000595102
41010 0.00061599
42010 0.000635355
43010 0.000641261
44010 0.00066243
45010 0.000675403
46010 0.000695045
47010 0.00071278
48010 0.000722604
49010 0.000736065
50010 0.000750222
51010 0.000766037
52010 0.00078939
53010 0.000795658
54010 0.000812751
55010 0.000824991
56010 0.000866645
57010 0.000873586
58010 0.000872157
59010 0.000888868
60010 0.000900322
61010 0.000929273
62010 0.000933266
63010 0.000944621
64010 0.000958275
65010 0.0010043
66010 0.000992916
67010 0.00100533
68010 0.00101866
69010 0.00104477
70010 0.00105218
71010 0.00106324
72010 0.00107804
73010 0.00110823
74010 0.00111311
75010 0.0011251
76010 0.00115908
77010 0.00116052
78010 0.0011727
79010 0.00118618
80010 0.00121305
81010 0.00121856
82010 0.00122964
83010 0.0012607
84010 0.00125874
85010 0.00127006
86010 0.0013008
87010 0.0013033
88010 0.00131556
89010 0.00134768
90010 0.00134572
91010 0.00136501
92010 0.00139269
93010 0.00140469
94010 0.00140972
95010 0.00143796
96010 0.00143689
97010 0.00146475
98010 0.00146605
99010 0.00147728
